tweet,label
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
الليمون الساخن يعالج السرطان.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
تناول العسل على الريق يعالج كورونا.,misinformation
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
تناول الأطعمة الغنية بالألياف يساعد في تحسين حركة الأمعاء.,accurate
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
العكبر يقضي على فيروس كورونا فوراً.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
الأدوية يجب أن تؤخذ فقط تحت إشراف طبيب مختص.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
شرب الماء بعد الأكل يسبب السمنة فوراً.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
تناول الخبز وحده يزيد المناعة.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
سرطان الثدي يمكن اكتشافه مبكراً عبر الفحص الذاتي المنتظم.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
تناول العسل على الريق يعالج كورونا.,misinformation
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
المشروبات الغازية تنظف الكلى.,misinformation
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
النوم على الأرض يعالج آلام الظهر نهائياً.,misinformation
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
زيت الخروع يعالج السكري تماماً.,misinformation
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
تناول العسل على الريق يعالج كورونا.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
شرب الحبة السوداء يشفي من السكري.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
تناول الخبز وحده يزيد المناعة.,misinformation
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
زيت الخروع يعالج السكري تماماً.,misinformation
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
شرب الماء البارد يسبب النوبة القلبية.,misinformation
زيت الخروع يعالج السكري تماماً.,misinformation
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
لقاحات كوفيد-19 تم اختبارها من جهات علمية موثوقة وتُعد آمنة وفعّالة.,accurate
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
العسل قادر على علاج التهاب الكبد بنسبة 100%.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
شرب الحبة السوداء يشفي من السكري.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
شرب عصير البصل يعالج الربو.,misinformation
تناول العسل على الريق يعالج كورونا.,misinformation
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
تناول الخبز وحده يزيد المناعة.,misinformation
شرب الحبة السوداء يشفي من السكري.,misinformation
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
شرب عصير البصل يعالج الربو.,misinformation
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
شرب القرفة مع الليمون يعالج الحساسية.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
بعض حالات الصداع تنتج عن قلة النوم.,accurate
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
مضادات الحيوية لا تُستخدم لعلاج الفيروسات بل البكتيريا فقط.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
فيتامين C يساعد على تقوية المناعة.,accurate
وضع البصل بجانب السرير يمتص الفيروسات.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
الأشخاص المصابون بالسكري يحتاجون لمتابعة مستوى السكر يومياً للحفاظ على صحتهم.,accurate
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
شرب الأعشاب قد يخفف الأعراض لكنه لا يغني عن العلاج الطبي.,accurate
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
المشي قبل النوم يساعد على تحسين جودة النوم.,accurate
الليمون الساخن يعالج السرطان.,misinformation
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
شرب عصير البصل يعالج الربو.,misinformation
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
بعض حالات الصداع تنتج عن قلة النوم.,accurate
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
ارتداء الكمامة يقلل انتقال الأمراض التنفسية.,accurate
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
الحجامة تعالج جميع الأمراض.,misinformation
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
الليمون الساخن يعالج السرطان.,misinformation
تناول الحلبة على الريق يعالج التهاب الكبد.,misinformation
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
تناول العسل على الريق يعالج كورونا.,misinformation
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
تناول الزنجبيل يقي تماماً من السرطان.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
مرضى الضغط يجب أن يقللوا من تناول الملح.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
شرب كأس ماء قبل النوم يمنع الجلطات بنسبة 100%.,misinformation
المشروبات الغازية تنظف الكلى.,misinformation
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
الكمون يزيل الحصى من الكلى تماماً.,misinformation
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
شرب الحبة السوداء يشفي من السكري.,misinformation
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
فرك الصدر بزيت الزيتون يمنع التهاب الرئة.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
فحص الكوليسترول مفيد لمن هم فوق 40 سنة.,accurate
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
فحص النظر سنوياً مهم للحفاظ على صحة العيون.,accurate
بعض حالات الصداع تنتج عن قلة النوم.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
شرب الحبة السوداء يشفي من السكري.,misinformation
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
شرب الشاي بعد الطعام مباشرة يسبب حصى الكلى.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
التطعيم ضد الإنفلونزا يقلل من شدة المرض إن حدثت الإصابة.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
تجنّب التدخين يقلل من خطر أمراض الرئة.,accurate
الثوم يعالج فيروس كورونا بشكل كامل خلال أيام قليلة.,misinformation
المشروبات الغازية تنظف الكلى.,misinformation
فحص الأسنان كل 6 أشهر يساعد في كشف مشاكل الفم مبكراً.,accurate
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
الالتزام بالعلاج يقلل من مضاعفات السكري.,accurate
القهوة السوداء تُعالج مرض السكري نهائياً.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
التغذية الصحية تساعد في تقوية جهاز المناعة بشكل عام.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
التطعيمات الدورية للأطفال ضرورية للنمو السليم.,accurate
شرب الليمون قبل النوم يمنع السرطان.,misinformation
وضع الليمون على الجلد يعالج الأكزيما.,misinformation
شرب كميات كافية من الماء يساعد على تحسين وظائف الكلى.,accurate
الثوم يقوي القلب ويمنع الجلطات بشكل كامل.,misinformation
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
شرب الحليب يزوّد الجسم بالكالسيوم المهم للعظام.,accurate
تناول العسل على الريق يعالج كورونا.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
شرب الحبة السوداء يشفي من السكري.,misinformation
شرب الليمون قبل النوم يمنع السرطان.,misinformation
غسل اليدين لمدة 20 ثانية يقلل خطر انتقال الأمراض بنسبة كبيرة.,accurate
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
شرب الماء بكثرة يسبب ضعف القلب.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
شرب الليمون يمنع الإصابة بأي فيروس.,misinformation
العكبر يقضي على فيروس كورونا فوراً.,misinformation
زيت الزيتون يمكنه إزالة فيروس الإنفلونزا من الرئتين.,misinformation
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
الإكثار من الماء يساعد على تقليل الجفاف في فصل الصيف.,accurate
فيتامين د مهم لصحة العظام ويمكن الحصول عليه من أشعة الشمس.,accurate
مرضى الربو يحتاجون لاستخدام البخاخات الموصوفة عند نوبات ضيق التنفس.,accurate
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
تناول العسل على الريق يعالج كورونا.,misinformation
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
اتباع نظام غذائي متوازن يعزز صحة الجسم.,accurate
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
الفيتامينات وحدها كافية للوقاية من جميع الأمراض.,misinformation
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
الكمون يمنع الإصابة بالإنفلونزا نهائياً.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
ممارسة الرياضة يومياً تساعد على تقليل التوتر وتحسين المزاج.,accurate
السمنة تزيد من مخاطر أمراض القلب والضغط، لذلك يُنصح بممارسة الرياضة يومياً.,accurate
منظمة الصحة العالمية توصي بشرب الماء بانتظام للحفاظ على نشاط الجسم.,accurate
الليمون مع العسل يذيب الدهون خلال يوم واحد فقط.,misinformation
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
تقليل تناول الدهون المشبعة يفيد صحة القلب.,accurate
الالتزام بالأدوية الموصوفة يساعد بشكل كبير في السيطرة على الأمراض المزمنة.,accurate
تناول القرفة يومياً يعالج السكري نهائياً.,misinformation
ممارسة المشي 30 دقيقة يومياً تحسّن اللياقة.,accurate
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
التطعيم ضد كورونا يساعد في منع الحالات الشديدة.,accurate
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
شرب الشاي الأخضر قد يساعد في تحسين التمثيل الغذائي.,accurate
رش الكحول على الملابس يمنع العدوى طوال اليوم.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
النوم الكافي يساعد في تحسين الصحة النفسية والجسدية.,accurate
النوم أقل من 3 ساعات يومياً يزيد المناعة.,misinformation
الإكثار من السكريات يزيد خطر السمنة ومرض السكري.,accurate
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
الحجامة تعالج جميع الأمراض.,misinformation
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
تناول الخبز وحده يزيد المناعة.,misinformation
فيتامين C يساعد على تقوية المناعة.,accurate
الثلج يعالج التهابات الحلق خلال دقائق.,misinformation
الكركم قادر على علاج أمراض الكبد المزمنة.,misinformation
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
الراحة بعد العمليات الجراحية تسرّع الشفاء.,accurate
شرب القهوة باعتدال قد يكون مفيداً لصحة القلب.,accurate
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
فحص الدم سنوياً يساعد على الاكتشاف المبكر للأمراض.,accurate
المضادات الحيوية يجب أخذها حتى نهاية الجرعة المقررة.,accurate
وضع شريحة بطاطس على القدم يعالج الحمى.,misinformation
لقاحات الأطفال تحميهم من أمراض خطيرة مثل شلل الأطفال.,accurate
الغرغرة بالماء المالح تمنع التهاب الحلق كلياً.,misinformation
تناول الخضروات والفواكه يمد الجسم بالفيتامينات الضرورية.,accurate
دهن الظهر بالعسل يعالج التهابات الرئة.,misinformation
شرب الماء صباحاً يساعد على تحسين الهضم.,accurate
فيتامين C يساعد على تقوية المناعة.,accurate
زيت جوز الهند يعالج التهاب الجيوب الأنفية.,misinformation
الخل الأبيض يعالج التهابات الرئة بسرعة.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
شرب الماء الساخن يقضي على الفيروسات داخل الجسم فوراً.,misinformation
الابتعاد عن الشمس يمنع الإصابة بضغط الدم.,misinformation
شرب الماء بكثرة مفيد للجلد وصحته.,accurate
الليمون الساخن يعالج السرطان.,misinformation
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
غسل الخضروات جيداً قبل تناولها يقلل خطر التسمم الغذائي.,accurate
بخار الماء يقتل فيروس كورونا في الحلق.,misinformation
لقاح التهاب الكبد B يحمي من الإصابة بالفيروس بنسبة عالية.,accurate
فحص القلب مهم لمن لديهم تاريخ عائلي للمرض.,accurate
تناول الشاي الأخضر يمنع الإصابة بالزكام للأبد.,misinformation
ممارسة الرياضة تحسن صحة القلب والشرايين.,accurate
وضع ملح الليمون على الشعر يجعله ينمو بسرعة هائلة.,misinformation
الرياضة المنتظمة تخفّض خطر الإصابة بالسكري من النوع الثاني.,accurate
شرب العسل مع القرفة يقضي على البكتيريا فوراً.,misinformation
كورونا مجرد إنفلونزا بسيطة ولا يحتاج أي علاج.,misinformation
شرب الماء البارد يسبب النوبة القلبية.,misinformation
استخدام زيت النعناع يقي من العدوى الفيروسية.,misinformation
